"Source","Asset","Team","Asset Name","Asset Type","URI","Detector","Description","Content Class","Exposure window","Ignored","Ignore timestamp","Ignore type","Ignore comment","Snooze end timestamp","Ignore Actor","Severity","Line start","Line end","Fingerprint"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L22060","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","22060","22061","cec5731b31c41fb941f073956435905e987a243b35cdf238a32d7c755908d302"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L22059","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","22059","22060","7b27722b203f1b339bd15a81b8f67907c0cde2c42883ff1c0307d3bc207f83fe"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L21931","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","21931","21932","74ffdb2d8cb94d001d8409882fb7fa039cba62d9ff2fb3264fa3e18e9c18b2f2"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L21930","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","21930","21931","d984d1078a866ef237a15df63ccb89b0553b0fdd4e1ae14c02f80b7c8c0167fd"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L21929","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","21929","21930","7dd7961408ffcea701b8a014167523e4f89f0f94e9f3134d3c78513e82cf9d9a"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L21803","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","21803","21804","74ffdb2d8cb94d001d8409882fb7fa039cba62d9ff2fb3264fa3e18e9c18b2f2"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L21802","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","21802","21803","d984d1078a866ef237a15df63ccb89b0553b0fdd4e1ae14c02f80b7c8c0167fd"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L21801","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","21801","21802","7dd7961408ffcea701b8a014167523e4f89f0f94e9f3134d3c78513e82cf9d9a"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L21675","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","21675","21676","23b10750cbdfcf92b9b1f51edd7119e8f1c8b6ba09ba1e623139829a7a35f571"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L21674","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","21674","21675","698d6ea79102618bc3c3ff1322554671664fbf13bc8a605b619aaea3a14dd6e6"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L21673","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","21673","21674","1f7bd419f7fc596ebdbfc83b4a6b93581b8a7238fab3d2516485b49d8c1bc846"
